Stock,minute_of_day,spread_bps,depth_gbp,volume
KGF.L,729,8.174307479182833,6699.948421875,25284.646786880625
KGF.L,730,8.09181004985143,6143.4492421875,1642.6467340915624
KGF.L,731,8.280898228139238,6816.78234375,20284.418881941096
KGF.L,732,8.589309451095255,8223.468087301586,34887.51665300858
KGF.L,733,7.788755825837709,6427.0189609375,39426.57759059781
KGF.L,734,7.854436006703362,6237.414833333333,2145.4749588425398
KGF.L,735,8.224597206654,6453.31165625,3059.772587792969
KGF.L,736,7.977212738717365,6216.4524140625,42047.635334811566
KGF.L,737,7.835488372603203,6585.935412698413,1280.831609138254
KGF.L,738,8.039197047034277,6929.577265625,1752.7318706210938
KGF.L,739,8.364949044078966,7149.7734375,1983.1873646787499
KGF.L,740,8.336434715717024,6490.614921875,1747.1692369671875
KGF.L,741,8.434213771757447,7126.509234375,31514.334453394065
KGF.L,742,7.656749869424752,6216.97825,13853.30383129328
KGF.L,743,7.945990251114494,5809.335233870968,3471.383568926129
KGF.L,744,7.991143765901258,6512.801254098361,1643.4117352111475
KGF.L,745,8.326201828459222,6409.553546875,1520.7562164925
KGF.L,746,8.308107628809724,5839.467161290322,3677.303311462742
KGF.L,747,8.682864253568193,6026.440344262294,3120.4980986618034
KGF.L,748,8.173566045659948,5639.882298387097,3188.0680288174194
KGF.L,749,8.8861666029605,6246.3545564516135,1034.8801132629033
KGF.L,750,8.488147561871472,6295.2500625,2218.7322641529686
KGF.L,751,8.001962970047856,6106.68121875,6443.232911071406
KGF.L,752,8.101917690354286,6871.7568984375,2136.741625265625
KGF.L,753,8.147487953959123,6958.650951612904,1645.1223582580644
KGF.L,754,7.957878517587839,5588.3913125,37562.17712969062
KGF.L,755,7.803136665398554,6052.378023809524,3022.2411488349208
KGF.L,756,8.275159614019948,6294.120688524589,1703.7338148690164
KGF.L,757,7.9370885675088125,5822.9866640625,1754.9936809431251
KGF.L,758,8.26893126713995,5876.952293650793,1616.6337051142857
KGF.L,759,8.129719304336378,5669.405015873016,1436.7189958342856
KGF.L,760,8.223500019859495,5690.3025793650795,43713.231279876185
KGF.L,761,8.41810598524928,6487.093,1505.218355443492
KGF.L,762,8.00959943460438,6502.465261904762,1814.3134816196825
KGF.L,763,8.027063467151939,6482.497301587302,1015.9305163404763
KGF.L,764,8.452604525597907,5786.8605390625,2784.684808720156
KGF.L,765,8.074477663997577,6213.774484375,2781.415955509531
KGF.L,766,8.276606789008294,5702.9985390625,2003.6015951267188
KGF.L,767,7.943821704621125,6160.712841269841,1370.773516090476
KGF.L,768,8.305017461980356,6046.917738095238,1361.611076382222
KGF.L,769,8.249769576401256,6174.9503828125,17992.833075855935
KGF.L,770,8.387387675590801,5747.529849206349,1248.4775023126983
KGF.L,771,7.556227252688071,5626.90278125,2021.3298205285937
KGF.L,772,7.8421825022118945,5729.015476190476,2269.995532053968
KGF.L,773,7.547608804513128,5439.637515625,2603.314332575625
KGF.L,774,7.812106144720607,6463.6211796875,2616.9628632392187
KGF.L,775,8.13185809083351,6342.307814516129,4828.182357980161
KGF.L,776,8.103778442691581,6852.584590163935,961.7456450498361
KGF.L,777,8.128388051277822,7114.771290322581,1376.9301529583872
KGF.L,778,7.876230932489626,6555.741629032259,1648.4251405209677
KGF.L,779,8.092602390880122,7205.460698412699,1495.6732500428573
KGF.L,780,8.083350886992644,6117.0364609375,7669.942648750624
KGF.L,781,7.939204443750313,6534.027158730159,1689.1884191331746
KGF.L,782,8.497874393602338,6484.7769140625,2610.9497089621873
KGF.L,783,8.303680600245963,6821.352177419355,1951.5452860240323
KGF.L,784,8.345628537117605,6289.302950819671,1791.1611485193441
KGF.L,785,8.20967681723418,6873.492126984127,2026.9020687674604
KGF.L,786,8.05718179798229,6210.157920634921,2418.585146981429
KGF.L,787,8.081754980969666,5967.676103174604,6027.599798523492
KGF.L,788,7.6855962374030815,5463.066765625,1371.4419866551561
KGF.L,789,8.161946298614852,5974.7580859375,2745.711332535938
KGF.L,790,8.114333501866344,5998.992944444445,2161.2741413174604
KGF.L,791,8.185287049812748,6294.003055555556,1192.5145806109524
KGF.L,792,7.673249393937016,5992.97276984127,2915.1027408809523
KGF.L,793,7.569509937579162,6287.687158730158,2470.15594345
KGF.L,794,7.61184402901857,5746.003150793651,1431.8782940095239
KGF.L,795,7.756834437168189,6031.7973984375,1736.3092371735938
KGF.L,796,7.022636786397337,5554.781531746032,1443.8536615004762
KGF.L,797,7.62771784942712,6020.067642857143,1816.827603812857
KGF.L,798,7.66719228898181,6083.230209677419,2519.022390687742
KGF.L,799,7.881538662064196,6318.704314516129,2129.1867994709673
KGF.L,800,7.617801558366373,6043.1552109375,1994.060516923125
KGF.L,801,7.559739888721624,5851.07814516129,2447.615556122258
KGF.L,802,7.658784870467626,6282.962475409836,1319.459226907869
KGF.L,803,7.19350485820771,6285.814261904761,3990.5615674544447
KGF.L,804,7.310638508383129,5984.534870967742,4625.528867185967
KGF.L,805,7.363557171425385,6162.889265625,1421.52086751125
KGF.L,806,7.478300039450247,6679.943753968254,1556.8333227480953
KGF.L,807,8.126392313430168,6954.24540625,1862.7122434654689
KGF.L,808,7.340655027441949,6036.0631507936505,1165.5924914071427
KGF.L,809,7.838766302001224,5280.7962265625,2881.4122330604687
KGF.L,810,8.774283771999906,5902.3857734375,6546.2896848625005
